id_venda,data,cliente,cidade,uf,categoria,forma_pagamento,preco_unitario,quantidade,desconto,total_liquido,aliquota,imposto_estimado
1,2025-12-06,Dom Machado,Martins das Pedras,GO,Informática,Cartão,1374.75,5,0.05,6530.05,0.18,1175.41
2,2025-12-30,Thomas Sales,Cavalcanti,GO,Eletrônicos,PIX,4195.72,4,0.05,15943.75,0.07,1116.06
3,2025-10-15,Benício Martins,Pereira,CE,Eletrônicos,PIX,424.0,3,0.0,1271.99,0.18,228.96
4,2026-01-02,Diego da Costa,Freitas,MG,Eletrônicos,Cartão,3465.48,2,0.0,6930.95,0.07,485.17
5,2025-10-04,Dr. Otávio Costela,Melo,RS,Acessórios,Cartão,103.22,2,0.05,196.11,0.12,23.53
6,2025-11-06,Davi das Neves,Sousa,BA,Eletrônicos,Dinheiro,1087.3,4,0.0,4349.21,0.18,782.86
7,2025-12-25,Miguel Nogueira,Leão de Minas,PE,Informática,PIX,6779.59,2,0.15,11525.3,0.18,2074.55
8,2025-09-28,Isabella Rodrigues,Guerra das Flores,SP,Eletrônicos,Boleto,275.05,3,0.0,825.16,0.18,148.53
9,2025-11-23,Rodrigo Carvalho,Aragão,PR,Acessórios,Boleto,459.18,4,0.0,1836.72,0.07,128.57
10,2025-12-14,Sra. Ester Porto,Caldeira,PR,Acessórios,PIX,445.86,5,0.15,1894.91,0.18,341.08
11,2025-08-02,Ana Luiza Farias,Camargo do Sul,RS,Informática,Dinheiro,5728.7,3,0.0,17186.11,0.18,3093.5
12,2025-09-26,Josué Pinto,da Luz de Lima,BA,Informática,Boleto,2106.94,4,0.1,7585.0,0.18,1365.3
13,2025-08-14,Dr. Davi Lucca Cassiano,da Luz do Galho,RJ,Eletrônicos,Boleto,3196.9,4,0.0,12787.6,0.18,2301.77
14,2025-10-30,Dr. Davi Miguel Macedo,Farias,RS,Eletrônicos,Boleto,4501.24,1,0.1,4051.11,0.18,729.2
15,2025-09-24,Daniel da Paz,Sousa,PE,Eletrônicos,PIX,2527.18,3,0.0,7581.55,0.18,1364.68
16,2025-10-01,Gustavo Henrique Cunha,Rezende da Prata,SP,Informática,PIX,2087.98,5,0.0,10439.89,0.07,730.79
17,2025-11-06,Bella Nunes,Martins,SC,Serviços,Dinheiro,560.53,5,0.0,2802.65,0.18,504.48
18,2025-10-14,Sr. João Guilherme Viana,Novaes,RS,Informática,Boleto,2015.45,4,0.15,6852.55,0.12,822.31
19,2025-11-01,João Guilherme da Cruz,da Cunha Grande,SP,Eletrônicos,Boleto,923.44,4,0.05,3509.09,0.07,245.64
20,2025-07-29,Sr. João Vitor Almeida,Porto dos Dourados,BA,Acessórios,PIX,351.65,2,0.1,632.97,0.18,113.93
21,2025-10-01,Laura Sá,Barbosa,RS,Eletrônicos,PIX,2798.95,1,0.0,2798.95,0.12,335.87
22,2025-12-08,Vitor Hugo Viana,Santos de Cirino,PR,Eletrônicos,PIX,4522.01,3,0.1,12209.42,0.12,1465.13
23,2025-09-11,Matteo Santos,Vieira,SP,Informática,Dinheiro,7203.65,1,0.05,6843.47,0.07,479.04
24,2025-10-01,Luigi Vargas,Fogaça das Pedras,RJ,Eletrônicos,Dinheiro,3521.1,1,0.0,3521.1,0.07,246.48
25,2026-01-06,Nathan Borges,Martins de Minas,RS,Informática,Boleto,2568.28,5,0.0,12841.39,0.18,2311.45
26,2025-11-15,Ana Clara Pastor,Cardoso,SP,Acessórios,Dinheiro,113.72,3,0.0,341.15,0.18,61.41
27,2026-01-02,Maria Monteiro,Alves Verde,PR,Eletrônicos,Dinheiro,4440.77,5,0.0,22203.86,0.18,3996.69
28,2025-07-25,Maria Cecília Vieira,Barros do Campo,PR,Eletrônicos,Dinheiro,1116.37,2,0.1,2009.47,0.18,361.7
29,2025-12-15,Leandro Carvalho,Dias Grande,RJ,Eletrônicos,PIX,3152.03,2,0.0,6304.07,0.18,1134.73
30,2025-08-16,Larissa Lopes,Costa,RS,Acessórios,Dinheiro,408.85,5,0.0,2044.27,0.07,143.1
31,2025-12-30,Nina da Luz,Lima,SP,Acessórios,Boleto,44.37,4,0.0,177.48,0.12,21.3
32,2025-09-17,Ravi Lucca Vasconcelos,Souza do Amparo,PE,Eletrônicos,Cartão,944.2,1,0.0,944.2,0.18,169.96
33,2025-08-05,Sra. Ísis da Mata,Ferreira,PR,Informática,Cartão,6194.45,4,0.1,22300.02,0.07,1561.0
34,2025-09-19,Srta. Maitê Santos,Moraes do Amparo,RS,Informática,Dinheiro,1192.05,3,0.05,3397.35,0.12,407.68
35,2025-08-12,Ana Luiza da Paz,Peixoto,CE,Acessórios,Boleto,421.27,5,0.0,2106.35,0.18,379.14
36,2025-12-03,Yago Santos,Silveira,SC,Eletrônicos,Dinheiro,3630.06,5,0.05,17242.79,0.12,2069.13
37,2025-07-18,Isaque Monteiro,Oliveira da Mata,MG,Informática,PIX,262.99,1,0.0,262.99,0.18,47.34
38,2025-10-20,Heloísa Vasconcelos,da Mota,CE,Informática,PIX,6484.27,5,0.0,32421.33,0.18,5835.84
39,2025-09-20,Melissa Câmara,Aparecida da Praia,BA,Acessórios,Dinheiro,261.51,5,0.05,1242.15,0.18,223.59
40,2025-08-15,Maria Luiza da Cunha,Pimenta de Guerra,SP,Informática,Boleto,5145.77,3,0.05,14665.44,0.12,1759.85
41,2025-11-05,Maya Monteiro,Mendes da Mata,MG,Acessórios,Boleto,119.21,4,0.0,476.83,0.07,33.38
42,2025-12-27,Ravi Lucca Freitas,Moreira,RS,Informática,Cartão,2653.96,2,0.0,5307.92,0.12,636.95
43,2025-12-24,Dra. Isadora Macedo,Almeida do Galho,GO,Acessórios,Boleto,155.38,1,0.0,155.38,0.18,27.97
44,2025-11-09,Gael Cardoso,da Luz,RJ,Informática,PIX,4707.27,4,0.0,18829.08,0.18,3389.23
45,2025-10-05,Maria Liz Viana,Pinto,SP,Eletrônicos,PIX,2764.77,3,0.0,8294.32,0.07,580.6
46,2025-11-25,Evelyn da Mota,Melo,PE,Acessórios,Dinheiro,476.29,5,0.0,2381.46,0.18,428.66
47,2025-09-20,Ágatha Borges,Lima,BA,Acessórios,PIX,74.46,2,0.0,148.93,0.18,26.81
48,2025-08-29,Luna Vieira,Moraes,RJ,Acessórios,Boleto,421.74,5,0.0,2108.71,0.12,253.05
49,2025-08-28,Dra. Cecília Porto,Gonçalves,PR,Acessórios,PIX,299.03,4,0.0,1196.11,0.18,215.3
50,2025-09-14,Juliana Rodrigues,Rodrigues do Oeste,SC,Acessórios,Boleto,201.43,2,0.1,362.58,0.07,25.38
51,2025-12-16,Sr. Rodrigo Barros,Melo,RJ,Eletrônicos,Dinheiro,2449.57,1,0.05,2327.09,0.18,418.88
52,2025-09-10,Ana Luiza Brito,Lopes do Norte,SP,Serviços,PIX,651.58,5,0.15,2769.22,0.07,193.85
53,2025-08-03,Breno Costela,Castro dos Dourados,PR,Eletrônicos,Boleto,4966.23,2,0.0,9932.46,0.12,1191.9
54,2025-12-14,Pedro Lucas Machado,Porto,PR,Informática,Dinheiro,3165.98,2,0.15,5382.17,0.18,968.79
55,2025-10-31,Vitor Moraes,Moraes,PR,Eletrônicos,Dinheiro,1531.43,2,0.0,3062.86,0.12,367.54
56,2025-09-22,Mariane Pinto,das Neves Verde,SC,Serviços,Cartão,502.09,5,0.0,2510.43,0.07,175.73
57,2025-09-18,Pietra Cavalcanti,da Paz da Serra,PR,Serviços,Cartão,699.55,5,0.0,3497.74,0.12,419.73
58,2025-08-06,Dra. Ana Liz Farias,Costa,SP,Acessórios,Boleto,208.63,1,0.1,187.77,0.12,22.53
59,2026-01-05,Isaac da Conceição,Machado da Prata,PR,Eletrônicos,PIX,470.6,3,0.0,1411.81,0.18,254.13
60,2025-11-19,Anna Liz Almeida,Pereira,MG,Acessórios,Dinheiro,82.0,5,0.0,409.98,0.18,73.8
61,2025-08-24,Dr. Emanuel Alves,Martins Grande,GO,Informática,PIX,4060.6,2,0.1,7309.07,0.18,1315.63
62,2025-07-21,Igor Albuquerque,Moura das Flores,PE,Eletrônicos,Dinheiro,3031.79,2,0.1,5457.22,0.18,982.3
63,2025-07-28,Luiz Miguel Lima,Gomes Grande,SC,Eletrônicos,Dinheiro,3118.82,2,0.0,6237.64,0.18,1122.78
