destinatario_id,tipo,documento,uf,cidade
1,PF,39252883191,CE,Sobral
2,PF,99263288099,GO,Goiânia
3,PJ,07366321634486,BA,Ilhéus
4,PF,28466388704,RS,Porto Alegre
5,PF,23825178632,PE,Recife
6,PJ,40618269540341,RJ,Rio de Janeiro
7,PF,57507367708,RJ,Rio de Janeiro
8,PF,25873188044,SC,Florianópolis
9,PF,07732886092,MG,Contagem
10,PF,08480395445,SP,Santos
11,PJ,83612142565288,DF,Ceilândia
12,PF,67633042195,CE,Juazeiro do Norte
13,PF,47544625925,SP,Campinas
14,PF,87631238158,CE,Juazeiro do Norte
15,PF,69138398985,PE,Caruaru
16,PF,31281365918,DF,Taguatinga
17,PF,70637081099,SC,Blumenau
18,PF,75602525761,SC,Blumenau
19,PF,15843704790,DF,Brasília
20,PF,89173753857,DF,Taguatinga
21,PJ,82760496686161,SP,Santos
22,PF,59478345143,CE,Sobral
23,PF,70999245640,SC,Blumenau
24,PJ,15852285634918,SC,Florianópolis
25,PF,32859397110,PE,Recife
26,PF,01208498115,PE,Olinda
27,PF,97462744779,SC,Florianópolis
28,PF,61541910939,SC,Joinville
29,PF,14253327302,DF,Taguatinga
30,PJ,45097068499103,RS,Porto Alegre
31,PJ,77548236231057,RJ,Niterói
32,PF,23448981284,DF,Ceilândia
33,PF,94383534529,SP,Santos
34,PJ,87305008012345,SC,Blumenau
35,PF,21132352248,MG,Belo Horizonte
36,PF,93695158555,BA,Ilhéus
37,PF,48338103266,DF,Brasília
38,PF,50973440047,RS,Pelotas
39,PF,10337961421,MG,Contagem
40,PF,60261646424,RJ,Rio de Janeiro
41,PJ,12977199695118,RJ,Niterói
42,PJ,24676195832902,SP,São Paulo
43,PF,95706250031,PE,Recife
44,PJ,44686205233906,RS,Caxias do Sul
45,PF,36607814929,RS,Pelotas
46,PJ,55151455257984,CE,Fortaleza
47,PJ,80241832799705,BA,Feira de Santana
48,PJ,60320173852600,CE,Juazeiro do Norte
49,PF,61853364327,CE,Fortaleza
50,PF,01018766792,RS,Caxias do Sul
51,PF,39298139445,BA,Feira de Santana
52,PF,15374775972,CE,Sobral
53,PF,22264307078,RJ,Duque de Caxias
54,PF,83557007692,GO,Anápolis
55,PF,98786847731,MG,Belo Horizonte
56,PF,82046654484,RJ,Rio de Janeiro
57,PF,62641549382,SP,Campinas
58,PF,39255746994,RS,Caxias do Sul
59,PF,44910250266,DF,Taguatinga
60,PJ,55211469297986,MG,Contagem
61,PF,08406631556,SP,São Paulo
62,PF,52271625268,PR,Londrina
63,PJ,66151157820562,CE,Juazeiro do Norte
64,PF,74629593928,GO,Rio Verde
65,PF,06955427115,GO,Anápolis
66,PF,54577307917,RJ,Rio de Janeiro
67,PF,53461847802,BA,Salvador
68,PF,82590129678,RS,Porto Alegre
69,PF,27769844469,SP,São Paulo
70,PJ,02399296549968,DF,Brasília
71,PF,30040127116,CE,Fortaleza
72,PJ,37762217425097,BA,Feira de Santana
73,PF,63426067848,RJ,Rio de Janeiro
74,PF,89933326258,RS,Porto Alegre
75,PJ,87651948721476,RS,Pelotas
76,PJ,65785237926840,RJ,Rio de Janeiro
77,PJ,96473385576135,SP,Campinas
78,PF,45999388361,RS,Pelotas
79,PF,32713318794,SC,Joinville
80,PJ,38812358259183,RS,Pelotas
81,PF,44562147613,PR,Londrina
82,PJ,01816934989866,BA,Ilhéus
83,PF,71585154529,PR,Maringá
84,PF,89284927048,MG,Contagem
85,PF,21478156327,GO,Anápolis
86,PF,62465001707,SC,Blumenau
87,PJ,00469841473456,BA,Feira de Santana
88,PF,47176455182,RS,Porto Alegre
89,PF,65396205934,RS,Caxias do Sul
90,PF,71063367470,RJ,Duque de Caxias
91,PJ,54181001253237,RS,Caxias do Sul
92,PF,55862800167,PE,Caruaru
93,PF,74316008045,SC,Joinville
94,PF,15202481700,RS,Porto Alegre
95,PF,55403045218,RJ,Niterói
96,PF,26001906583,DF,Taguatinga
97,PF,62685963708,SC,Florianópolis
98,PF,34576640628,PE,Recife
99,PJ,35513528831210,SP,São Paulo
100,PF,05581990795,MG,Uberlândia
101,PF,93649203896,BA,Salvador
102,PF,90117185992,PR,Londrina
103,PF,91153233717,BA,Ilhéus
104,PF,85992086613,DF,Ceilândia
105,PF,51904871183,DF,
106,PF,14910738386,SP,Santos
107,PF,74685211005,GO,Goiânia
108,PF,10575310457,PR,Curitiba
109,PF,38409173368,RJ,Rio de Janeiro
110,PF,73131831162,BA,Feira de Santana
111,PF,68153688912,PE,Caruaru
112,PF,19329482552,RJ,Duque de Caxias
113,PF,44411633211,CE,Sobral
114,PF,76439888318,BA,Salvador
115,PF,43431476036,PE,Caruaru
116,PF,63080734528,PR,Londrina
117,PF,13420540350,GO,Anápolis
118,PF,99871839999,SC,Florianópolis
119,PF,80830320310,PE,Caruaru
120,PF,50227943922,SP,São Paulo
121,PF,99338065970,SC,Blumenau
122,PJ,05593841414735,GO,Rio Verde
123,PF,55576264836,SP,Campinas
124,PF,72418690511,DF,Ceilândia
125,PJ,09315803259695,PE,Caruaru
126,PF,54826383131,RS,Caxias do Sul
127,PF,53889296735,GO,Goiânia
128,PF,06942086943,PE,Caruaru
129,PF,13876958836,BA,Ilhéus
130,PJ,33678656097352,DF,Ceilândia
131,PF,79119320917,BA,Feira de Santana
132,PF,81557452712,MG,Contagem
133,PJ,30277495795723,PE,Recife
134,PF,36453276543,SP,São Paulo
135,PF,52739987847,CE,Juazeiro do Norte
136,PF,73059736436,PE,Recife
137,PJ,98062939773395,DF,Taguatinga
138,PJ,62488194584843,PE,Caruaru
139,PF,46474571262,GO,Goiânia
140,PF,12761436310,GO,Rio Verde
141,PF,21508100418,BA,Feira de Santana
142,PF,48799124510,RS,Caxias do Sul
143,PJ,51928580075945,GO,Rio Verde
144,PF,25588719025,PE,Olinda
145,PF,97455484099,BA,Feira de Santana
146,PF,09465890227,SP,São Paulo
147,PF,94010002002,PR,Maringá
148,PF,94511805987,RJ,Duque de Caxias
149,PF,91977148647,GO,Goiânia
150,PJ,87005304108884,MG,Uberlândia
151,PF,60728732710,DF,Taguatinga
152,PJ,28210210430872,RJ,Rio de Janeiro
153,PF,70811667768,PR,Londrina
154,PF,31956582833,GO,Goiânia
155,PF,73821743048,MG,Belo Horizonte
156,PF,52453221973,RS,Porto Alegre
157,PF,37543793926,DF,Brasília
158,PF,02309748489,SP,Campinas
159,PF,07477938994,CE,Fortaleza
160,PF,73421781234,SP,São Paulo
161,PF,50241146316,PE,Caruaru
162,PJ,30331464590008,SC,Joinville
163,PF,59579179543,BA,Feira de Santana
164,PF,05962394824,DF,Brasília
165,PJ,54906911308793,DF,Brasília
166,PJ,63187524306522,SC,Florianópolis
167,PJ,59402846651940,PR,Curitiba
168,PF,23925640500,PR,Maringá
169,PF,47502807442,DF,Brasília
170,PF,82194338789,PE,Recife
171,PJ,35799042571701,PE,Olinda
172,PF,57992832624,RJ,Rio de Janeiro
173,PF,23261797189,PR,Curitiba
174,PF,36457890750,DF,Brasília
175,PF,08467638749,CE,Juazeiro do Norte
176,PF,83797049272,GO,Goiânia
177,PF,01581028464,SC,Florianópolis
178,PF,70821077463,PR,Londrina
179,PF,35853570937,PR,Curitiba
180,PF,54327801844,CE,Sobral
181,PF,81084756470,DF,Taguatinga
182,PJ,32224905797099,BA,Salvador
183,PF,03195443204,PR,Londrina
184,PF,43868476319,CE,Fortaleza
185,PF,20425228432,BA,Ilhéus
186,PJ,89599578148924,RS,Porto Alegre
187,PF,32739224228,PR,Curitiba
188,PF,15463693172,PR,Londrina
189,PJ,91325471350137,MG,Contagem
190,PF,58436643606,DF,Brasília
191,PF,29718376292,BA,Salvador
192,PF,55583941637,SC,Joinville
193,PJ,63055209442649,CE,Juazeiro do Norte
194,PF,66138718199,PE,Caruaru
195,PF,97286610091,MG,Uberlândia
196,PF,60547223904,RJ,Rio de Janeiro
197,PF,25631670494,PR,Londrina
198,PF,72762156798,PR,Londrina
199,PF,24692152837,SP,São Paulo
200,PJ,84617783574583,DF,Brasília
201,PF,92562221000,SP,Santos
202,PJ,32311850850708,BA,Feira de Santana
203,PF,87904329371,RS,Pelotas
204,PF,81871362870,BA,Ilhéus
205,PF,84118912726,SP,Campinas
206,PF,40180735576,RS,Porto Alegre
207,PF,81153487387,GO,Rio Verde
208,PF,55323607005,PR,Maringá
209,PF,89532566226,CE,Sobral
210,PF,36376448413,SP,Campinas
211,PF,30923514775,RJ,Rio de Janeiro
212,PF,57848811833,PE,Recife
213,PJ,99104840038128,MG,Uberlândia
214,PF,14548240987,MG,Uberlândia
215,PF,34524145763,RS,Pelotas
216,PJ,10514055553867,SP,Campinas
217,PF,79595447848,RS,Caxias do Sul
218,PF,45618348356,BA,Feira de Santana
219,PF,47076090446,MG,Contagem
220,PF,60816086146,DF,Taguatinga
221,PF,38186099274,GO,Anápolis
222,PF,01055565344,RJ,Niterói
223,PF,77126984582,CE,Fortaleza
224,PF,38574465540,PR,Maringá
225,PF,37325471208,CE,Sobral
226,PF,99294875603,SP,Campinas
