cliente_id,nome,tipo,documento,uf,cidade,segmento,canal_aquisicao,data_cadastro
1,Patrícia Carvalho,PF,22363356089,PR,Ponta Grossa,Pessoa Física,Orgânico,2024-07-03
2,Helena Santos,PF,65643318329,PR,Londrina,Atacado,Anúncio,2023-02-16
3,Patrícia Cardoso,PF,56227418463,DF,Ceilândia,Corporativo,Orgânico,2023-05-01
4,Vanessa Lima,PF,57826961121,MS,Campo Grande,Atacado,Orgânico,2024-09-08
5,Natália Almeida,PF,79557445305,MG,Juiz de Fora,Pessoa Física,Orgânico,2023-08-14
6,Otávio Gomes,PF,80228556270,RJ,Petrópolis,Pessoa Física,Orgânico,2023-09-03
7,Helena Almeida,PJ,18614067232322,SP,Campinas,Pessoa Física,Indicação,2023-11-22
8,Otávio Silva,PF,48729293527,MG,Juiz de Fora,Pessoa Física,Orgânico,2024-05-18
9,Larissa Martins,PF,38051846850,MT,Sinop,Corporativo,Orgânico,2023-06-17
10,Patrícia Santos,PF,22994826322,DF,Brasília,Varejo,Anúncio,2025-05-29
11,Larissa Souza,PF,43231931583,MS,Ponta Porã,Varejo,Orgânico,2025-01-02
12,Kaique Barbosa,PF,86720397783,DF,Guará,Varejo,Anúncio,2025-05-17
13,Larissa Teixeira,PF,39522800701,SP,Ribeirão Preto,Varejo,Orgânico,2025-10-11
14,Otávio Cardoso,PF,94740170533,MG,Contagem,Pessoa Física,Orgânico,2024-10-20
15,Igor Souza,PF,96633602660,PA,Castanhal,Varejo,Indicação,2024-02-01
16,Kaique Almeida,PF,75279422504,SC,Chapecó,Varejo,Orgânico,2025-12-07
17,Natália Souza,PF,00478024596,MT,Várzea Grande,Corporativo,Orgânico,2024-09-12
18,Kaique Ribeiro,PF,50016326848,MT,Rondonópolis,Varejo,Orgânico,2024-05-23
19,Bruno Ferreira,PF,77817995788,PA,Ananindeua,Varejo,Orgânico,2024-03-31
20,Helena Ferreira,PF,88374889541,CE,Maracanaú,Varejo,Orgânico,2023-02-13
21,Thiago Gomes,PF,65568147877,GO,Aparecida de Goiânia,Atacado,Orgânico,2025-11-13
22,Ana Souza,PF,89625717592,PA,Santarém,Pessoa Física,Orgânico,2025-06-17
23,Bruno Cardoso,PF,94565917922,AM,Itacoatiara,Pessoa Física,Orgânico,2025-02-05
24,Kaique Almeida,PJ,47977462410885,ES,Vila Velha,Pessoa Física,Marketplace,2023-08-31
25,Juliana Lima,PJ,00172288735280,ES,Vitória,Pessoa Física,Orgânico,2025-10-14
26,Juliana Carvalho,PF,75741764334,PA,Belém,Pessoa Física,Orgânico,2023-07-13
27,Patrícia Martins,PF,22209211943,SC,Florianópolis,Pessoa Física,Anúncio,2023-09-22
28,Marcos Oliveira,PF,40328047852,SC,Blumenau,Pessoa Física,Orgânico,2023-03-18
29,Ana Carvalho,PF,32626693946,MT,Tangará da Serra,Pessoa Física,Marketplace,2023-11-12
30,Helena Pereira,PF,68473447608,ES,Vila Velha,Corporativo,Orgânico,2023-12-26
31,Carla Costa,PF,71960482942,ES,Cariacica,Atacado,Anúncio,2025-05-21
32,Guilherme Ribeiro,PJ,35691951936602,SP,Sorocaba,Atacado,WhatsApp,2023-12-24
33,Carla Oliveira,PF,63008115165,GO,Luziânia,Varejo,Orgânico,2025-11-13
34,Helena Martins,PF,64764021022,RS,Caxias do Sul,Pessoa Física,Orgânico,2023-11-28
35,Kaique Carvalho,PF,03512001467,RJ,Duque de Caxias,Varejo,Indicação,2024-07-28
36,Thiago Martins,PF,66927958185,ES,Linhares,Pessoa Física,WhatsApp,2024-10-12
37,Igor Martins,PJ,20743394021688,BA,Feira de Santana,Pessoa Física,Anúncio,2025-06-27
38,Vanessa Carvalho,PF,67461550573,PE,Caruaru,Corporativo,Indicação,2025-04-03
39,Vanessa Teixeira,PJ,52213896664467,RS,Santa Maria,Varejo,Orgânico,2025-08-08
40,Bruno Oliveira,PF,45422047690,SP,Campinas,Corporativo,Indicação,2025-10-24
41,Guilherme Costa,PF,77423686560,DF,Samambaia,Atacado,Orgânico,2023-05-09
42,Juliana Barbosa,PF,60985376752,ES,Serra,Pessoa Física,Indicação,2023-04-14
43,Guilherme Santos,PF,02545293834,BA,Feira de Santana,Pessoa Física,Orgânico,2024-05-07
44,Eduardo Almeida,PF,62238146740,DF,Ceilândia,Pessoa Física,Anúncio,2023-06-14
45,Larissa Barbosa,PF,04808603295,MS,Ponta Porã,Pessoa Física,Orgânico,2024-06-24
46,Natália Oliveira,PF,32502166413,AM,Manacapuru,Pessoa Física,Indicação,2024-10-08
47,Sabrina Gomes,PF,82118159642,AM,Manacapuru,Pessoa Física,Indicação,2023-10-30
48,Juliana Pereira,PF,01910843759,GO,Anápolis,Varejo,Marketplace,2023-04-18
49,Guilherme Barbosa,PF,47842920590,MT,Sinop,Varejo,WhatsApp,2025-11-23
50,Guilherme Pereira,PF,88942518645,ES,Cariacica,Varejo,Anúncio,2024-02-11
51,Guilherme Carvalho,PF,75899673048,MS,Campo Grande,Pessoa Física,Indicação,2025-07-08
52,Guilherme Almeida,PF,15141787725,PE,Petrolina,Pessoa Física,Orgânico,2024-11-15
53,Patrícia Lima,PF,13560848556,ES,Cariacica,Pessoa Física,WhatsApp,2024-12-26
54,Ana Almeida,PF,81504882353,RJ,Duque de Caxias,Pessoa Física,Indicação,2025-05-05
55,Carla Cardoso,PF,13459536744,DF,Ceilândia,Pessoa Física,Anúncio,2023-10-18
56,Kaique Ribeiro,PJ,28813290235257,PE,Petrolina,Varejo,Anúncio,2023-08-27
57,Thiago Pereira,PF,80109657525,DF,Ceilândia,Varejo,Marketplace,2025-12-28
58,Otávio Santos,PJ,70640243264470,RS,Canoas,Pessoa Física,Marketplace,2025-01-02
59,Vanessa Souza,PF,30918136812,SP,São Paulo,Pessoa Física,Marketplace,2023-11-17
60,Patrícia Teixeira,PF,83270888214,PR,Londrina,Pessoa Física,Anúncio,2024-12-08
61,Kaique Teixeira,PF,39697710052,RJ,Petrópolis,Varejo,Anúncio,2024-03-07
62,Patrícia Santos,PF,91961033351,MT,Tangará da Serra,Pessoa Física,WhatsApp,2025-07-31
63,Juliana Pereira,PF,16929330446,SC,Florianópolis,Pessoa Física,Indicação,2024-07-11
64,Carla Costa,PF,11401695195,RS,Canoas,Pessoa Física,Anúncio,2023-12-10
65,Guilherme Cardoso,PF,71506290616,MS,Ponta Porã,Varejo,Indicação,2025-01-26
66,Otávio Silva,PF,49630540522,ES,Vila Velha,Pessoa Física,Indicação,2025-04-02
67,Igor Souza,PF,03204214094,MT,Rondonópolis,Pessoa Física,Indicação,2024-02-13
68,Vanessa Ribeiro,PF,98954708302,SP,São Paulo,Pessoa Física,Indicação,2025-04-04
69,Sabrina Oliveira,PF,20608473116,SP,Campinas,Pessoa Física,Marketplace,2023-09-14
70,Bruno Barbosa,PF,72398423551,BA,Juazeiro,Pessoa Física,Marketplace,2023-09-20
71,Kaique Barbosa,PJ,04714126229119,CE,Maracanaú,Pessoa Física,Anúncio,2025-06-24
72,Carla Oliveira,PF,50452562849,SP,Santos,Pessoa Física,Orgânico,2024-11-11
73,Patrícia Barbosa,PJ,03782914349772,BA,Vitória da Conquista,Corporativo,Indicação,2023-02-08
74,Fernanda Ribeiro,PF,94666646935,MS,Campo Grande,Varejo,Indicação,2025-01-09
75,Fernanda Souza,PF,13762581036,PE,Petrolina,Varejo,Anúncio,2023-12-02
76,Fernanda Ferreira,PF,38853088457,MG,Contagem,Pessoa Física,Marketplace,2023-10-28
77,Larissa Pereira,PF,61697452623,RJ,Duque de Caxias,Varejo,Orgânico,2024-04-09
78,Vanessa Teixeira,PF,23307491615,ES,Serra,Varejo,Orgânico,2024-05-10
79,Ana Carvalho,PF,44683812391,PE,Jaboatão,Pessoa Física,Marketplace,2025-09-04
80,Igor Ferreira,PF,34849777145,PR,Maringá,Pessoa Física,WhatsApp,2024-04-22
81,Bruno Almeida,PJ,21176276898173,DF,Ceilândia,Varejo,Anúncio,2023-11-22
82,Diego Oliveira,PF,46649100844,RJ,Duque de Caxias,Atacado,Orgânico,2025-04-27
83,Vanessa Carvalho,PF,64501941332,MS,Campo Grande,Pessoa Física,Anúncio,2024-08-17
84,Bruno Almeida,PF,27134589250,PR,Cascavel,Corporativo,Anúncio,2023-01-01
85,Sabrina Gomes,PF,61061417758,PE,Recife,Corporativo,Anúncio,2024-11-23
86,Igor Souza,PF,41122325163,AM,Parintins,Corporativo,Orgânico,2024-07-03
87,Kaique Gomes,PF,65942564543,SP,São Paulo,Varejo,Orgânico,2024-09-21
88,Bruno Ribeiro,PF,39609707594,PR,Cascavel,Pessoa Física,Indicação,2023-07-22
