nome,email,telefone,cidade,estado,data_nascimento,salario
Leonardo Almeida,zpires@example.net,(051) 4170-2143,Abreu de Cavalcanti,PI,2003-06-22,62148
Srta. Melissa Santos,ana-livia82@example.com,(041) 8557 1641,Cavalcanti Paulista,TO,1965-03-22,40823
Lucca Andrade,diastheodoro@example.net,+55 21 8012-5779,Novaes do Oeste,MA,1960-12-16,18880
Natália Camargo,luiz-henriqueda-conceicao@example.org,+55 (084) 2408 9813,Araújo,MS,1957-03-04,67744
Sr. Levi da Costa,sampaiojoao-pedro@example.com,+55 (011) 5578-2867,Melo da Praia,RS,1983-11-24,4855
Natália Cavalcanti,silveirathiago@example.net,(051) 5403-5788,Vasconcelos,CE,2000-01-30,57457
Letícia Porto,breno79@example.org,51 0479 5923,Gonçalves das Pedras,GO,1968-03-10,19632
Agatha Novais,procha@example.net,+55 21 1516 7233,Mendes do Oeste,PA,1947-11-29,5120
Maria Julia Ribeiro,anogueira@example.com,+55 (084) 2731 4956,Santos da Serra,RR,1990-02-10,97239
Valentina Jesus,luigi26@example.net,11 9785-9778,Fernandes,BA,1995-05-13,30283
Aurora Mendes,steixeira@example.net,+55 84 7680 8695,Vieira,BA,1963-02-08,71445
Dr. Calebe Nunes,pimentapedro-henrique@example.org,+55 (021) 7134 5864,Teixeira Alegre,AL,2002-11-13,31234
Davi Lucas da Rosa,rnovais@example.net,+55 (041) 8910-0874,Leão Grande,AM,2001-07-29,54505
Maria Clara Vieira,joao-lucasribeiro@example.com,+55 (011) 6633-0099,Pires do Galho,CE,1960-10-24,85890
Rafaela Fogaça,abreuluna@example.com,11 2394-1223,Vargas das Flores,BA,1986-03-11,69188
Ana Beatriz Casa Grande,loliveira@example.com,11 1215 3118,Peixoto,SE,1969-04-24,66021
Vitória Leão,pereiraeloah@example.org,+55 21 5067-0578,Correia de Goiás,AC,1950-03-11,8600
Nathan Carvalho,hcorreia@example.net,+55 (084) 1223-4372,Leão,RN,1982-01-19,93927
Dra. Bárbara Sampaio,catarinacarvalho@example.net,+55 71 3648-7361,Vasconcelos,RJ,1952-05-12,82467
Marina Pastor,xdias@example.net,+55 31 0504-6173,Vieira,BA,1980-11-02,69542
Dante Costa,maria-clara48@example.org,(084) 3487 3678,Cardoso Paulista,AP,1953-03-31,40185
Juliana Guerra,riosana-livia@example.com,(021) 5103 0613,Nogueira,CE,1956-12-22,61991
Dra. Hadassa Pastor,mateus10@example.com,(031) 3596 1585,Novais das Flores,AC,1952-05-23,36620
